placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,2,100,Robust Scaler,"(None, 10, 10, 7)","(None, 3)",0.20733411610126495,0.24533429741859436,0.9133704900741577,0.9031456708908081
Below Suspension,2,200,Robust Scaler,"(None, 20, 10, 7)","(None, 3)",0.19206063449382782,0.23194558918476105,0.9214265942573547,0.9078366160392761
Below Suspension,2,300,Robust Scaler,"(None, 30, 10, 7)","(None, 3)",0.18564918637275696,0.23946109414100647,0.928093671798706,0.9237779378890991
Below Suspension,2,400,Robust Scaler,"(None, 40, 10, 7)","(None, 3)",0.17314304411411285,0.20494022965431213,0.9277746677398682,0.9287292957305908
Below Suspension,2,500,Robust Scaler,"(None, 50, 10, 7)","(None, 3)",0.20918849110603333,0.2156534641981125,0.9174215793609619,0.9149377346038818
