placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,3,100,Robust Scaler,"(None, 10, 10, 7)","(None, 3)",0.20107769966125488,0.2286565750837326,0.9188544154167175,0.9185004234313965
Dashboard,3,200,Robust Scaler,"(None, 20, 10, 7)","(None, 3)",0.16022969782352448,0.20459643006324768,0.934849739074707,0.925543487071991
Dashboard,3,300,Robust Scaler,"(None, 30, 10, 7)","(None, 3)",0.150705948472023,0.20471331477165222,0.9424778819084167,0.9290375113487244
Dashboard,3,400,Robust Scaler,"(None, 40, 10, 7)","(None, 3)",0.3067934811115265,0.6131238341331482,0.9114671349525452,0.9270946383476257
Dashboard,3,500,Robust Scaler,"(None, 50, 10, 7)","(None, 3)",0.1695810705423355,0.21374987065792084,0.9311314225196838,0.9231292605400085
