placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,2,100,Robust Scaler,"(None, 100, 7)","(None, 3)",0.20551295578479767,0.2925935387611389,0.9215877652168274,0.9056291580200195
Dashboard,2,200,Robust Scaler,"(None, 200, 7)","(None, 3)",0.28248387575149536,0.303771048784256,0.8906380534172058,0.8984547257423401
Dashboard,2,300,Robust Scaler,"(None, 300, 7)","(None, 3)",0.2736002504825592,0.3645734190940857,0.8954849243164062,0.8773819208145142
Dashboard,2,400,Robust Scaler,"(None, 400, 7)","(None, 3)",0.24569857120513916,0.31975188851356506,0.9057445526123047,0.8806629776954651
Dashboard,2,500,Robust Scaler,"(None, 500, 7)","(None, 3)",0.11198960244655609,0.4648304879665375,0.9574912786483765,0.8692945837974548
