placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,2,100,Robust Scaler,"(None, 10, 1, 10, 7)","(None, 3)",0.18375957012176514,0.25620806217193604,0.9208217263221741,0.8999723792076111
Below Suspension,2,200,Robust Scaler,"(None, 10, 1, 20, 7)","(None, 3)",0.15284153819084167,0.2695126235485077,0.9405126571655273,0.9056291580200195
Below Suspension,2,300,Robust Scaler,"(None, 10, 1, 30, 7)","(None, 3)",0.1750643104314804,0.243167906999588,0.9234949946403503,0.9055509567260742
Below Suspension,2,400,Robust Scaler,"(None, 10, 1, 40, 7)","(None, 3)",0.1693187803030014,0.2281721979379654,0.9319576025009155,0.9171270728111267
Below Suspension,2,500,Robust Scaler,"(None, 10, 1, 50, 7)","(None, 3)",0.229772686958313,0.40625447034835815,0.9083623886108398,0.9094052314758301
