placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,1,100,Robust Scaler,"(None, 100, 7)","(None, 3)",0.21549424529075623,0.24285632371902466,0.9120131731033325,0.9090313911437988
Dashboard,1,200,Robust Scaler,"(None, 200, 7)","(None, 3)",0.18557488918304443,0.2012454718351364,0.9268118143081665,0.9282722473144531
Dashboard,1,300,Robust Scaler,"(None, 300, 7)","(None, 3)",0.183883398771286,0.20293743908405304,0.9284178614616394,0.9477611780166626
Dashboard,1,400,Robust Scaler,"(None, 400, 7)","(None, 3)",0.1932101845741272,0.17651808261871338,0.92574542760849,0.9491614103317261
Dashboard,1,500,Robust Scaler,"(None, 500, 7)","(None, 3)",0.18531012535095215,0.14156141877174377,0.9218637943267822,0.9534731507301331
