placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,3,100,Robust Scaler,"(None, 10, 10, 7)","(None, 3)",0.2050885111093521,0.23029309511184692,0.9128878116607666,0.9183645844459534
Above Suspension,3,200,Robust Scaler,"(None, 20, 10, 7)","(None, 3)",0.2244676649570465,0.19946007430553436,0.9087334871292114,0.927173912525177
Above Suspension,3,300,Robust Scaler,"(None, 30, 10, 7)","(None, 3)",0.1865878403186798,0.20233391225337982,0.9256215691566467,0.9274061918258667
Above Suspension,3,400,Robust Scaler,"(None, 40, 10, 7)","(None, 3)",0.20571234822273254,0.1926356554031372,0.9165261387825012,0.9309031367301941
Above Suspension,3,500,Robust Scaler,"(None, 50, 10, 7)","(None, 3)",0.19296200573444366,0.20975646376609802,0.925509512424469,0.9278911352157593
