placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,2,100,Robust Scaler,"(None, 100, 7)","(None, 3)",0.31105804443359375,0.24147306382656097,0.8674790859222412,0.9009382128715515
Below Suspension,2,200,Robust Scaler,"(None, 200, 7)","(None, 3)",0.22978612780570984,0.2041514366865158,0.9033156633377075,0.9116997718811035
Below Suspension,2,300,Robust Scaler,"(None, 300, 7)","(None, 3)",0.2665928900241852,0.2325042486190796,0.8977842926979065,0.9349626898765564
Below Suspension,2,400,Robust Scaler,"(None, 400, 7)","(None, 3)",0.19860906898975372,0.17391161620616913,0.9194087982177734,0.9281768202781677
Below Suspension,2,500,Robust Scaler,"(None, 500, 7)","(None, 3)",0.2873469591140747,0.20793406665325165,0.894773542881012,0.9349930882453918
