placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,2,100,Robust Scaler,"(None, 100, 7)","(None, 3)",0.18712490797042847,0.24997775256633759,0.9244428873062134,0.9063189625740051
Above Suspension,2,200,Robust Scaler,"(None, 200, 7)","(None, 3)",0.18261560797691345,0.21376022696495056,0.930482029914856,0.9210816621780396
Above Suspension,2,300,Robust Scaler,"(None, 300, 7)","(None, 3)",0.17428404092788696,0.2166290134191513,0.9283027052879333,0.9233636856079102
Above Suspension,2,400,Robust Scaler,"(None, 400, 7)","(None, 3)",0.15640711784362793,0.22033347189426422,0.9322364926338196,0.9226519465446472
Above Suspension,2,500,Robust Scaler,"(None, 500, 7)","(None, 3)",0.1694764494895935,0.23548290133476257,0.9358885288238525,0.9142462015151978
