placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,1,100,Robust Scaler,"(None, 100, 7)","(None, 3)",0.19360333681106567,0.2564748525619507,0.9201030731201172,0.902748703956604
Below Suspension,1,200,Robust Scaler,"(None, 200, 7)","(None, 3)",0.23907454311847687,0.24685439467430115,0.9074763655662537,0.9120419025421143
Below Suspension,1,300,Robust Scaler,"(None, 300, 7)","(None, 3)",0.12720705568790436,0.23674067854881287,0.9475494623184204,0.9226236939430237
Below Suspension,1,400,Robust Scaler,"(None, 400, 7)","(None, 3)",0.1448657214641571,0.2468515783548355,0.9449541568756104,0.9161425828933716
Below Suspension,1,500,Robust Scaler,"(None, 500, 7)","(None, 3)",0.15757030248641968,0.24355603754520416,0.9405018091201782,0.9272608160972595
