placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,3,100,Robust Scaler,"(None, 100, 7)","(None, 3)",0.24910980463027954,0.2057201862335205,0.8952688574790955,0.9205378890037537
Above Suspension,3,200,Robust Scaler,"(None, 200, 7)","(None, 3)",0.14473214745521545,0.18914248049259186,0.9421510696411133,0.9336956739425659
Above Suspension,3,300,Robust Scaler,"(None, 300, 7)","(None, 3)",0.1909957230091095,0.17369867861270905,0.9180362224578857,0.9380097985267639
Above Suspension,3,400,Robust Scaler,"(None, 400, 7)","(None, 3)",0.21167556941509247,0.1913231611251831,0.9182124733924866,0.9439608454704285
Above Suspension,3,500,Robust Scaler,"(None, 500, 7)","(None, 3)",0.20998550951480865,0.17505136132240295,0.9209416508674622,0.9435374140739441
