placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,2,100,Robust Scaler,"(None, 10, 1, 10, 7)","(None, 3)",0.1478773057460785,0.2964502274990082,0.9413648843765259,0.8987306952476501
Dashboard,2,200,Robust Scaler,"(None, 10, 1, 20, 7)","(None, 3)",0.08901749551296234,0.3444022536277771,0.9675397276878357,0.9017660021781921
Dashboard,2,300,Robust Scaler,"(None, 10, 1, 30, 7)","(None, 3)",0.18432509899139404,0.4979337155818939,0.9306020140647888,0.8815244436264038
Dashboard,2,400,Robust Scaler,"(None, 10, 1, 40, 7)","(None, 3)",0.32465124130249023,0.5315513610839844,0.907975435256958,0.8580110669136047
Dashboard,2,500,Robust Scaler,"(None, 10, 1, 50, 7)","(None, 3)",0.3824556767940521,0.4281175434589386,0.9059233665466309,0.8471645712852478
