placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,1,100,Robust Scaler,"(None, 100, 7)","(None, 3)",0.17444026470184326,0.24146848917007446,0.9319874048233032,0.9113874435424805
Dashboard,1,200,Robust Scaler,"(None, 200, 7)","(None, 3)",0.16091398894786835,0.21933482587337494,0.93869948387146,0.9191099405288696
Dashboard,1,300,Robust Scaler,"(None, 300, 7)","(None, 3)",0.1684008091688156,0.18813548982143402,0.929492712020874,0.9359779953956604
Dashboard,1,400,Robust Scaler,"(None, 400, 7)","(None, 3)",0.15303412079811096,0.18868176639080048,0.9423738718032837,0.9266247153282166
Dashboard,1,500,Robust Scaler,"(None, 500, 7)","(None, 3)",0.1452511101961136,0.20472361147403717,0.9440860152244568,0.9292267560958862
