placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,3,100,Robust Scaler,"(None, 10, 1, 10, 7)","(None, 3)",0.20631496608257294,0.2496916949748993,0.9109223484992981,0.9088562726974487
Below Suspension,3,200,Robust Scaler,"(None, 10, 1, 20, 7)","(None, 3)",0.15984992682933807,0.2378852814435959,0.9341477155685425,0.916304349899292
Below Suspension,3,300,Robust Scaler,"(None, 10, 1, 30, 7)","(None, 3)",0.2290145307779312,0.2911972999572754,0.9016013741493225,0.9151712656021118
Below Suspension,3,400,Robust Scaler,"(None, 10, 1, 40, 7)","(None, 3)",0.17502939701080322,0.27309852838516235,0.9210230708122253,0.9156692028045654
Below Suspension,3,500,Robust Scaler,"(None, 10, 1, 50, 7)","(None, 3)",0.20356781780719757,0.27997130155563354,0.9082923531532288,0.9068027138710022
