placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,3,100,Robust Scaler,"(None, 10, 10, 7)","(None, 3)",0.21976853907108307,0.22789302468299866,0.9060087203979492,0.9185004234313965
Below Suspension,3,200,Robust Scaler,"(None, 20, 10, 7)","(None, 3)",0.1664559245109558,0.21380117535591125,0.932041585445404,0.9214673638343811
Below Suspension,3,300,Robust Scaler,"(None, 30, 10, 7)","(None, 3)",0.21099013090133667,0.19731174409389496,0.9155077934265137,0.9286296963691711
Below Suspension,3,400,Robust Scaler,"(None, 40, 10, 7)","(None, 3)",0.18115049600601196,0.25368064641952515,0.9232714772224426,0.9243743419647217
Below Suspension,3,500,Robust Scaler,"(None, 50, 10, 7)","(None, 3)",0.1559416651725769,0.2267702966928482,0.934996485710144,0.9306122660636902
