placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,2,100,Robust Scaler,"(None, 100, 7)","(None, 3)",0.24553222954273224,0.24632176756858826,0.8974930644035339,0.9036975502967834
Below Suspension,2,200,Robust Scaler,"(None, 200, 7)","(None, 3)",0.15666840970516205,0.2345283329486847,0.9406520128250122,0.9130794405937195
Below Suspension,2,300,Robust Scaler,"(None, 300, 7)","(None, 3)",0.15392467379570007,0.19906507432460785,0.9381271004676819,0.9299917221069336
Below Suspension,2,400,Robust Scaler,"(None, 400, 7)","(None, 3)",0.14611944556236267,0.21275945007801056,0.9422755241394043,0.9248619079589844
Below Suspension,2,500,Robust Scaler,"(None, 500, 7)","(None, 3)",0.16977623105049133,0.24826151132583618,0.9254355430603027,0.9094052314758301
