placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,2,100,Robust Scaler,"(None, 10, 1, 10, 7)","(None, 3)",0.19485148787498474,0.26854220032691956,0.921657383441925,0.9031456708908081
Above Suspension,2,200,Robust Scaler,"(None, 10, 1, 20, 7)","(None, 3)",0.15256783366203308,0.2473202794790268,0.9399554133415222,0.9067329168319702
Above Suspension,2,300,Robust Scaler,"(None, 10, 1, 30, 7)","(None, 3)",0.2201816439628601,0.26521533727645874,0.9191053509712219,0.9034796953201294
Above Suspension,2,400,Robust Scaler,"(None, 10, 1, 40, 7)","(None, 3)",0.23158973455429077,0.3123871684074402,0.9118795394897461,0.908839762210846
Above Suspension,2,500,Robust Scaler,"(None, 10, 1, 50, 7)","(None, 3)",0.20157307386398315,0.32300230860710144,0.9268292784690857,0.8928077220916748
