placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,3,100,Robust Scaler,"(None, 100, 7)","(None, 3)",0.2315542995929718,0.206907257437706,0.9022883772850037,0.9225754141807556
Dashboard,3,200,Robust Scaler,"(None, 200, 7)","(None, 3)",0.15493424236774445,0.17290464043617249,0.9368155002593994,0.935054361820221
Dashboard,3,300,Robust Scaler,"(None, 300, 7)","(None, 3)",0.21588283777236938,0.17924000322818756,0.9142435789108276,0.9449428915977478
Dashboard,3,400,Robust Scaler,"(None, 400, 7)","(None, 3)",0.18681469559669495,0.15947023034095764,0.9238336086273193,0.9510337114334106
Dashboard,3,500,Robust Scaler,"(None, 500, 7)","(None, 3)",0.18089668452739716,0.17456401884555817,0.9230498671531677,0.9517006874084473
