placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,1,100,Robust Scaler,"(None, 10, 10, 7)","(None, 3)",0.2510063946247101,0.2701737880706787,0.894687831401825,0.9047120213508606
Above Suspension,1,200,Robust Scaler,"(None, 20, 10, 7)","(None, 3)",0.14739061892032623,0.2519059181213379,0.9391291737556458,0.9104712009429932
Above Suspension,1,300,Robust Scaler,"(None, 30, 10, 7)","(None, 3)",0.22281403839588165,0.22960606217384338,0.9090713858604431,0.9340141415596008
Above Suspension,1,400,Robust Scaler,"(None, 40, 10, 7)","(None, 3)",0.17261889576911926,0.22588038444519043,0.932052731513977,0.9187631011009216
Above Suspension,1,500,Robust Scaler,"(None, 50, 10, 7)","(None, 3)",0.2175244390964508,0.23826472461223602,0.9068100452423096,0.9213630557060242
