placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,2,100,Robust Scaler,"(None, 100, 7)","(None, 3)",0.23973588645458221,0.24138469994068146,0.9003481864929199,0.9088024497032166
Dashboard,2,200,Robust Scaler,"(None, 200, 7)","(None, 3)",0.2879544198513031,0.30199477076530457,0.8893842101097107,0.8915562629699707
Dashboard,2,300,Robust Scaler,"(None, 300, 7)","(None, 3)",0.19318906962871552,0.28152111172676086,0.9245401620864868,0.8985087275505066
Dashboard,2,400,Robust Scaler,"(None, 400, 7)","(None, 3)",0.2719425559043884,0.32893648743629456,0.8931957483291626,0.890055239200592
Dashboard,2,500,Robust Scaler,"(None, 500, 7)","(None, 3)",0.16078037023544312,0.4252127408981323,0.9337978959083557,0.8858920931816101
