placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,3,100,Robust Scaler,"(None, 10, 1, 10, 7)","(None, 3)",0.23201784491539001,0.25322631001472473,0.9027796983718872,0.9084488153457642
Above Suspension,3,200,Robust Scaler,"(None, 10, 1, 20, 7)","(None, 3)",0.19754613935947418,0.27743983268737793,0.924599826335907,0.914130449295044
Above Suspension,3,300,Robust Scaler,"(None, 10, 1, 30, 7)","(None, 3)",0.23982548713684082,0.27373141050338745,0.9047619104385376,0.8988580703735352
Above Suspension,3,400,Robust Scaler,"(None, 10, 1, 40, 7)","(None, 3)",0.1488960087299347,0.36190876364707947,0.9477234482765198,0.883025050163269
Above Suspension,3,500,Robust Scaler,"(None, 10, 1, 50, 7)","(None, 3)",0.17450182139873505,0.3063697814941406,0.9332396388053894,0.8904761672019958
