placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,1,100,Robust Scaler,"(None, 100, 7)","(None, 3)",0.2581983506679535,0.28113046288490295,0.8945446610450745,0.9031413793563843
Above Suspension,1,200,Robust Scaler,"(None, 200, 7)","(None, 3)",0.15914420783519745,0.24260073900222778,0.9365511536598206,0.9238219857215881
Above Suspension,1,300,Robust Scaler,"(None, 300, 7)","(None, 3)",0.11343266814947128,0.2594364881515503,0.9542132616043091,0.9277297854423523
Above Suspension,1,400,Robust Scaler,"(None, 400, 7)","(None, 3)",0.1836705058813095,0.1999536156654358,0.9286124110221863,0.9281970858573914
Above Suspension,1,500,Robust Scaler,"(None, 500, 7)","(None, 3)",0.1346963346004486,0.2513291537761688,0.9451612830162048,0.9338138699531555
