placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,1,100,Robust Scaler,"(None, 10, 10, 7)","(None, 3)",0.20694604516029358,0.2643599212169647,0.913444995880127,0.8999999761581421
Below Suspension,1,200,Robust Scaler,"(None, 20, 10, 7)","(None, 3)",0.19299490749835968,0.26109442114830017,0.9252363443374634,0.9109947681427002
Below Suspension,1,300,Robust Scaler,"(None, 30, 10, 7)","(None, 3)",0.17995381355285645,0.26935845613479614,0.9221839904785156,0.9128044247627258
Below Suspension,1,400,Robust Scaler,"(None, 40, 10, 7)","(None, 3)",0.19083096086978912,0.2369621843099594,0.9228784441947937,0.9109014868736267
Below Suspension,1,500,Robust Scaler,"(None, 50, 10, 7)","(None, 3)",0.19964991509914398,0.23038119077682495,0.9168458580970764,0.9161205887794495
