placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,2,100,Robust Scaler,"(None, 10, 10, 7)","(None, 3)",0.1881730556488037,0.25564929842948914,0.9236072301864624,0.9056291580200195
Above Suspension,2,200,Robust Scaler,"(None, 20, 10, 7)","(None, 3)",0.27303364872932434,0.217181995511055,0.8928670883178711,0.9197019934654236
Above Suspension,2,300,Robust Scaler,"(None, 30, 10, 7)","(None, 3)",0.20606200397014618,0.2086079716682434,0.917224109172821,0.9266777038574219
Above Suspension,2,400,Robust Scaler,"(None, 40, 10, 7)","(None, 3)",0.17813052237033844,0.1842963993549347,0.9305633306503296,0.9375690817832947
Above Suspension,2,500,Robust Scaler,"(None, 50, 10, 7)","(None, 3)",0.18856362998485565,0.22485226392745972,0.9278745651245117,0.9211618304252625
