placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,1,100,Robust Scaler,"(None, 100, 7)","(None, 3)",0.22569237649440765,0.25303182005882263,0.9067153334617615,0.9074607491493225
Above Suspension,1,200,Robust Scaler,"(None, 200, 7)","(None, 3)",0.15023033320903778,0.21765552461147308,0.9404182434082031,0.9274868965148926
Above Suspension,1,300,Robust Scaler,"(None, 300, 7)","(None, 3)",0.20022840797901154,0.2075536698102951,0.9159501194953918,0.9375491142272949
Above Suspension,1,400,Robust Scaler,"(None, 400, 7)","(None, 3)",0.2170616090297699,0.19112007319927216,0.9122706651687622,0.9428721070289612
Above Suspension,1,500,Robust Scaler,"(None, 500, 7)","(None, 3)",0.2001439481973648,0.16567741334438324,0.9132616519927979,0.9390563368797302
